The top 10 most-highly expressed genes
Gene ID: MSTRG.1643, TPM Count: 55634.097519
Gene ID: MSTRG.397, TPM Count: 47694.92952
Gene ID: MSTRG.894, TPM Count: 25525.385204
Gene ID: MSTRG.766, TPM Count: 22697.981886
Gene ID: MSTRG.136, TPM Count: 20070.359863
Gene ID: MSTRG.267, TPM Count: 19625.865669
Gene ID: MSTRG.1144, TPM Count: 14512.044401
Gene ID: MSTRG.1408, TPM Count: 13507.776377
Gene ID: MSTRG.27, TPM Count: 13386.172852
Gene ID: MSTRG.548, TPM Count: 11991.068077
